xflr5 v6.59

Main plane
T1-110.0 m/s-LLT-0.0kg-x0.0m
QInf  =,  110.000000 ,m/s
Alpha = ,  10.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.867386
Cy    = ,   0.000000
Cd=,   0.045752,ICd=,    0.040255,PCd=,    0.005497
Cl   = ,-2.6196e-17
Cm   =,   -0.893833
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    4.855303, YCP=,    0.000000, ZCP=,    0.000000 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -10.8893,   1.6029, -6.180, 0.459808, 0.004803, 0.049595,-1.098498, 0.022532, 0.2050, 0.7192, 0.1929, 0.0000
  -10.4854,   1.7586, -3.706, 0.747725, 0.005477, 0.048364,-1.745054, 0.020161, 0.1569, 0.7992, 0.2130,357.6104
   -9.8233,   2.0138, -2.481, 0.889096, 0.005892, 0.038502,-1.967395, 0.018965, 0.1312, 0.8221, 0.2173,3009.8282
   -8.9194,   2.3622, -2.006, 0.944972, 0.005957, 0.033082,-1.929493, 0.018299, 0.1165, 0.8213, 0.2188,12273.7541
   -7.7959,   2.7952, -1.925, 0.955497, 0.005844, 0.032101,-1.746076, 0.018043, 0.1135, 0.8135, 0.2191,35109.6233
   -6.4803,   3.3022, -2.055, 0.941482, 0.005709, 0.033764,-1.483276, 0.018042, 0.1113, 0.7981, 0.2190,80926.6682
   -5.0052,   3.8708, -2.309, 0.912949, 0.005609, 0.036797,-1.180034, 0.018172, 0.1100, 0.7664, 0.2186,160794.2972
   -3.4069,   4.4868, -2.667, 0.873421, 0.005401, 0.040650,-0.860980, 0.018296, 0.1136, 0.7261, 0.2180,285983.8430
   -1.7247,   5.1352, -3.110, 0.823263, 0.005249, 0.044680,-0.545251, 0.018604, 0.1137, 0.6778, 0.2168,465893.8651
   -0.0000,   5.7999, -3.694, 0.756238, 0.005158, 0.048752,-0.249333, 0.019116, 0.1155, 0.6101, 0.2147,705651.2485
    1.7247,   5.1352, -3.110, 0.823263, 0.005249, 0.044680,-0.545251, 0.018604, 0.1137, 0.6778, 0.2168,465893.8651
    3.4069,   4.4868, -2.667, 0.873421, 0.005401, 0.040650,-0.860980, 0.018296, 0.1136, 0.7261, 0.2180,285983.8430
    5.0052,   3.8708, -2.309, 0.912949, 0.005609, 0.036797,-1.180034, 0.018172, 0.1100, 0.7664, 0.2186,160794.2972
    6.4803,   3.3022, -2.055, 0.941482, 0.005709, 0.033764,-1.483276, 0.018042, 0.1113, 0.7981, 0.2190,80926.6682
    7.7959,   2.7952, -1.925, 0.955497, 0.005844, 0.032101,-1.746076, 0.018043, 0.1135, 0.8135, 0.2191,35109.6233
    8.9194,   2.3622, -2.006, 0.944972, 0.005957, 0.033082,-1.929493, 0.018299, 0.1165, 0.8213, 0.2188,12273.7541
    9.8233,   2.0138, -2.481, 0.889096, 0.005892, 0.038502,-1.967395, 0.018965, 0.1312, 0.8221, 0.2173,3009.8282
   10.4854,   1.7586, -3.706, 0.747725, 0.005477, 0.048364,-1.745054, 0.020161, 0.1569, 0.7992, 0.2130,357.6104
   10.8893,   1.6029, -6.180, 0.459808, 0.004803, 0.049595,-1.098498, 0.022532, 0.2050, 0.7192, 0.1929, 0.0000




