xflr5 v6.59

Fun
T1-63.6 m/s-LLT-2.0kg-x2.0m
QInf  =,   63.603729 ,m/s
Alpha = ,  18.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.496145
Cy    = ,   0.000000
Cd=,   0.131293,ICd=,    0.120405,PCd=,    0.010888
Cl   = ,-2.1476e-17
Cm   =,   -0.823745
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    4.839670, YCP=,    0.000000, ZCP=,    0.000000 
XNP=,    0.000000
Bending =, 405178.589914

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -10.8893,   1.6029,-11.188, 0.802508, 0.006182, 0.156708,-1.543068, 0.020542, 0.1634, 0.8556, 0.2138, 0.0000
  -10.4854,   1.7586, -6.638, 1.295735, 0.009529, 0.150109,-2.404688, 0.019822, 0.0704, 0.9367, 0.2180,208.6711
   -9.8233,   2.0138, -4.329, 1.528211, 0.011866, 0.115464,-2.645453, 0.020510, 0.0438, 0.9912, 0.2159,1747.7113
   -8.9194,   2.3622, -3.310, 1.612433, 0.013594, 0.093159,-2.511274, 0.022794, 0.0297, 0.9996, 0.2133,7091.7115
   -7.7959,   2.7952, -3.092, 1.627089, 0.013853, 0.087809,-2.183407, 0.023983, 0.0234, 1.0000, 0.2122,20192.6252
   -6.4803,   3.3022, -3.405, 1.609823, 0.013049, 0.095676,-1.756766, 0.022084, 0.0240, 0.9944, 0.2139,46394.3983
   -5.0052,   3.8708, -3.920, 1.570024, 0.011790, 0.107429,-1.271001, 0.020849, 0.0268, 0.9664, 0.2153,92063.0435
   -3.4069,   4.4868, -4.637, 1.511158, 0.010506, 0.122299,-0.762608, 0.018764, 0.0329, 0.9372, 0.2175,163769.0208
   -1.7247,   5.1352, -5.517, 1.431773, 0.009154, 0.137856,-0.262582, 0.016998, 0.0418, 0.9130, 0.2196,267090.8195
   -0.0000,   5.7999, -6.604, 1.318243, 0.008322, 0.151948, 0.194300, 0.016791, 0.0447, 0.8776, 0.2206,405178.5899
    1.7247,   5.1352, -5.517, 1.431773, 0.009154, 0.137856,-0.262582, 0.016998, 0.0418, 0.9130, 0.2196,267090.8195
    3.4069,   4.4868, -4.637, 1.511158, 0.010506, 0.122299,-0.762608, 0.018764, 0.0329, 0.9372, 0.2175,163769.0208
    5.0052,   3.8708, -3.920, 1.570024, 0.011790, 0.107429,-1.271001, 0.020849, 0.0268, 0.9664, 0.2153,92063.0435
    6.4803,   3.3022, -3.405, 1.609823, 0.013049, 0.095676,-1.756766, 0.022084, 0.0240, 0.9944, 0.2139,46394.3983
    7.7959,   2.7952, -3.092, 1.627089, 0.013853, 0.087809,-2.183407, 0.023983, 0.0234, 1.0000, 0.2122,20192.6252
    8.9194,   2.3622, -3.310, 1.612433, 0.013594, 0.093159,-2.511274, 0.022794, 0.0297, 0.9996, 0.2133,7091.7115
    9.8233,   2.0138, -4.329, 1.528211, 0.011866, 0.115464,-2.645453, 0.020510, 0.0438, 0.9912, 0.2159,1747.7113
   10.4854,   1.7586, -6.638, 1.295735, 0.009529, 0.150109,-2.404688, 0.019822, 0.0704, 0.9367, 0.2180,208.6711
   10.8893,   1.6029,-11.188, 0.802508, 0.006182, 0.156708,-1.543068, 0.020542, 0.1634, 0.8556, 0.2138, 0.0000




