xflr5 v6.59

Fun
T1-110.0 m/s-LLT-0.0kg-x0.0m
QInf  =,  110.000000 ,m/s
Alpha = ,   6.250000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.548069
Cy    = ,   0.000000
Cd=,   0.020874,ICd=,    0.016040,PCd=,    0.004834
Cl   = ,-8.37799e-18
Cm   =,   -0.555188
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    4.793907, YCP=,    0.000000, ZCP=,    0.000000 
XNP=,    0.000000
Bending =, 445916.901396

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -10.8893,   1.6029, -3.882, 0.290020, 0.004670, 0.019652,-0.683284, 0.023796, 0.2364, 0.6278, 0.1603, 0.0000
  -10.4854,   1.7586, -2.329, 0.471949, 0.004790, 0.019183,-1.091777, 0.022391, 0.1999, 0.7131, 0.1944,225.5597
   -9.8233,   2.0138, -1.564, 0.561634, 0.004980, 0.015332,-1.233199, 0.021566, 0.1773, 0.7240, 0.2029,1899.3286
   -8.9194,   2.3622, -1.264, 0.597149, 0.004964, 0.013178,-1.209671, 0.021182, 0.1663, 0.7218, 0.2056,7749.0637
   -7.7959,   2.7952, -1.215, 0.603943, 0.004946, 0.012803,-1.094064, 0.020987, 0.1584, 0.6931, 0.2063,22174.1555
   -6.4803,   3.3022, -1.298, 0.595170, 0.004911, 0.013486,-0.928141, 0.020936, 0.1542, 0.6567, 0.2060,51123.5045
   -5.0052,   3.8708, -1.460, 0.577085, 0.004850, 0.014706,-0.736398, 0.021000, 0.1529, 0.6231, 0.2049,101596.6046
   -3.4069,   4.4868, -1.682, 0.551880, 0.004781, 0.016199,-0.534439, 0.021141, 0.1496, 0.5872, 0.2031,180717.1541
   -1.7247,   5.1352, -1.960, 0.520033, 0.004754, 0.017788,-0.334831, 0.021341, 0.1472, 0.5451, 0.2006,294414.3801
   -0.0000,   5.7999, -2.326, 0.477611, 0.004738, 0.019393,-0.147887, 0.021655, 0.1481, 0.4859, 0.1965,445916.9014
    1.7247,   5.1352, -1.960, 0.520033, 0.004754, 0.017788,-0.334831, 0.021341, 0.1472, 0.5451, 0.2006,294414.3801
    3.4069,   4.4868, -1.682, 0.551880, 0.004781, 0.016199,-0.534439, 0.021141, 0.1496, 0.5872, 0.2031,180717.1541
    5.0052,   3.8708, -1.460, 0.577085, 0.004850, 0.014706,-0.736398, 0.021000, 0.1529, 0.6231, 0.2049,101596.6046
    6.4803,   3.3022, -1.298, 0.595170, 0.004911, 0.013486,-0.928141, 0.020936, 0.1542, 0.6567, 0.2060,51123.5045
    7.7959,   2.7952, -1.215, 0.603943, 0.004946, 0.012803,-1.094064, 0.020987, 0.1584, 0.6931, 0.2063,22174.1555
    8.9194,   2.3622, -1.264, 0.597149, 0.004964, 0.013178,-1.209671, 0.021182, 0.1663, 0.7218, 0.2056,7749.0637
    9.8233,   2.0138, -1.564, 0.561634, 0.004980, 0.015332,-1.233199, 0.021566, 0.1773, 0.7240, 0.2029,1899.3286
   10.4854,   1.7586, -2.329, 0.471949, 0.004790, 0.019183,-1.091777, 0.022391, 0.1999, 0.7131, 0.1944,225.5597
   10.8893,   1.6029, -3.882, 0.290020, 0.004670, 0.019652,-0.683284, 0.023796, 0.2364, 0.6278, 0.1603, 0.0000




