xflr5 v6.59

Main plane
VLM-110m/s
QInf  =,  110.000000 ,m/s
Alpha = ,   4.750000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.311896
Cy    = ,   0.000000
Cd=,   0.009689,ICd=,    0.005025,PCd=,    0.004664
Cl   = ,8.33305e-18
Cm   =,   -0.194166
ICn=,    0.000000,PCn=,    0.000000
XCP=,    4.249220, YCP=,    0.000000, ZCP=,    0.038589 
XNP=,    0.000000
Bending =, 102331.337915

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -7.7789,   0.9829, -0.980, 0.420118, 0.005000, 0.007186,-2.436209, 0.020448, 0.2294, 0.7520, 0.2004, 0.0000
   -6.8681,   1.3243, -0.681, 0.429790, 0.004827, 0.005110,-1.617024, 0.016920, 0.2149, 0.7216, 0.2097,1549.8485
   -5.9910,   1.6531, -0.657, 0.414352, 0.004772, 0.004749,-1.073394, 0.016648, 0.2109, 0.6869, 0.2089,5048.6964
   -5.1694,   1.9612, -0.692, 0.397259, 0.004684, 0.004796,-0.734009, 0.016746, 0.2106, 0.6577, 0.2069,10476.0281
   -4.4233,   2.2409, -0.735, 0.381764, 0.004621, 0.004896,-0.515197, 0.016815, 0.2116, 0.6232, 0.2050,17452.5452
   -3.7712,   2.4853, -0.773, 0.368691, 0.004583, 0.004969,-0.370854, 0.016746, 0.2123, 0.5892, 0.2036,25303.6676
   -3.2292,   2.6885, -0.802, 0.358438, 0.004596, 0.005019,-0.275360, 0.016460, 0.2101, 0.5661, 0.2031,33163.3295
   -2.8105,   2.8455, -0.831, 0.351233, 0.004601, 0.005106,-0.213848, 0.015916, 0.2088, 0.5485, 0.2037,40105.3181
   -2.5255,   2.9523, -0.874, 0.346991, 0.004603, 0.005341,-0.177328, 0.015262, 0.2082, 0.5366, 0.2051,45281.0445
   -2.3813,   3.0064, -0.956, 0.345549, 0.004605, 0.006708,-0.159923, 0.015358, 0.2078, 0.5311, 0.2046,48043.7849
   -2.3306,   3.0424, -0.992, 0.342609, 0.004603,-0.010316,-0.152427, 0.013589, 0.2080, 0.5258, 0.2091,49032.2659
   -2.2732,   3.1314, -0.978, 0.332610, 0.004587, 0.002895,-0.140003, 0.013734, 0.2088, 0.5156, 0.2079,50158.2630
   -2.1598,   3.3073, -1.017, 0.319637, 0.004568, 0.005144,-0.118053, 0.013357, 0.2086, 0.5036, 0.2075,52427.9445
   -1.9933,   3.5657, -1.083, 0.302006, 0.004572, 0.005383,-0.091158, 0.012816, 0.2076, 0.4820, 0.2068,55873.3329
   -1.7777,   3.9002, -1.158, 0.281658, 0.004612, 0.005450,-0.064264, 0.012126, 0.2068, 0.4514, 0.2061,60533.7719
   -1.5183,   4.3026, -1.227, 0.260472, 0.004626, 0.005401,-0.040531, 0.011175, 0.2058, 0.4182, 0.2062,66444.8406
   -1.2215,   4.7630, -1.283, 0.239666, 0.004620, 0.005239,-0.021462, 0.009797, 0.2061, 0.3854, 0.2082,73624.0389
   -0.8946,   5.2701, -1.322, 0.219936, 0.004596, 0.004980,-0.007415, 0.007809, 0.2058, 0.3611, 0.2136,82054.3490
   -0.5457,   5.8113, -1.340, 0.201667, 0.004597, 0.004638, 0.001842, 0.005002, 0.2041, 0.3368, 0.2242,91667.6478
   -0.1834,   6.3734, -1.327, 0.185714, 0.004597, 0.004689, 0.006795, 0.001173, 0.2023, 0.3152, 0.2426,102330.7021
    0.1834,   6.3734, -1.327, 0.185714, 0.004597, 0.004689, 0.006795, 0.001173, 0.2023, 0.3152, 0.2426,102331.3379
    0.5457,   5.8113, -1.340, 0.201667, 0.004597, 0.004638, 0.001842, 0.005002, 0.2041, 0.3368, 0.2242,91668.2552
    0.8946,   5.2701, -1.322, 0.219936, 0.004596, 0.004980,-0.007415, 0.007809, 0.2058, 0.3611, 0.2136,82054.9039
    1.2215,   4.7630, -1.283, 0.239666, 0.004620, 0.005239,-0.021462, 0.009797, 0.2061, 0.3854, 0.2082,73624.5222
    1.5183,   4.3026, -1.227, 0.260472, 0.004626, 0.005401,-0.040531, 0.011175, 0.2058, 0.4182, 0.2062,66445.2376
    1.7777,   3.9002, -1.158, 0.281658, 0.004612, 0.005450,-0.064264, 0.012126, 0.2068, 0.4514, 0.2061,60534.0721
    1.9933,   3.5657, -1.083, 0.302006, 0.004572, 0.005383,-0.091158, 0.012816, 0.2076, 0.4820, 0.2068,55873.5290
    2.1598,   3.3073, -1.017, 0.319637, 0.004568, 0.005144,-0.118053, 0.013357, 0.2086, 0.5036, 0.2075,52428.0318
    2.2732,   3.1314, -0.978, 0.332610, 0.004587, 0.002895,-0.140003, 0.013734, 0.2088, 0.5156, 0.2079,50158.2387
    2.3306,   3.0424, -0.992, 0.342609, 0.004603,-0.010316,-0.152427, 0.013589, 0.2080, 0.5258, 0.2091,49032.1289
    2.3813,   3.0064, -0.956, 0.345549, 0.004605, 0.006708,-0.159923, 0.015358, 0.2078, 0.5311, 0.2046,48043.6122
    2.5255,   2.9523, -0.874, 0.346991, 0.004603, 0.005341,-0.177328, 0.015262, 0.2082, 0.5366, 0.2051,45280.9120
    2.8105,   2.8455, -0.831, 0.351233, 0.004601, 0.005106,-0.213848, 0.015916, 0.2088, 0.5485, 0.2037,40105.2223
    3.2292,   2.6885, -0.802, 0.358438, 0.004596, 0.005019,-0.275360, 0.016460, 0.2101, 0.5661, 0.2031,33163.2651
    3.7712,   2.4853, -0.773, 0.368691, 0.004583, 0.004969,-0.370854, 0.016746, 0.2123, 0.5892, 0.2036,25303.6283
    4.4233,   2.2409, -0.735, 0.381764, 0.004621, 0.004896,-0.515197, 0.016815, 0.2116, 0.6232, 0.2050,17452.5240
    5.1694,   1.9612, -0.692, 0.397259, 0.004684, 0.004796,-0.734009, 0.016746, 0.2106, 0.6577, 0.2069,10476.0186
    5.9910,   1.6531, -0.657, 0.414352, 0.004772, 0.004749,-1.073394, 0.016648, 0.2109, 0.6869, 0.2089,5048.6933
    6.8681,   1.3243, -0.681, 0.429790, 0.004827, 0.005110,-1.617024, 0.016920, 0.2149, 0.7216, 0.2097,1549.8480
    7.7789,   0.9829, -0.980, 0.420118, 0.005000, 0.007186,-2.436209, 0.020448, 0.2294, 0.7520, 0.2004, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
   0,   8.476e+00,  -7.779e+00,  -1.065e-04,      -0.030,      -0.015,       0.999,   1.318e-02,     -0.0195
   1,   8.454e+00,  -7.779e+00,  -7.130e-04,      -0.027,      -0.014,       1.000,   3.876e-02,     -0.0391
   2,   8.406e+00,  -7.779e+00,  -1.860e-03,      -0.017,      -0.008,       1.000,   6.207e-02,     -0.0416
   3,   8.334e+00,  -7.779e+00,  -2.709e-03,       0.000,       0.001,       1.000,   8.178e-02,     -0.0070
   4,   8.241e+00,  -7.779e+00,  -2.159e-03,       0.020,       0.013,       1.000,   9.676e-02,      0.0685
   5,   8.133e+00,  -7.779e+00,   4.463e-04,       0.036,       0.023,       0.999,   1.062e-01,      0.1852
   6,   8.017e+00,  -7.779e+00,   4.805e-03,       0.041,       0.026,       0.999,   1.094e-01,      0.3129
   7,   7.900e+00,  -7.779e+00,   9.587e-03,       0.038,       0.024,       0.999,   1.062e-01,      0.4523
   8,   7.787e+00,  -7.779e+00,   1.368e-02,       0.030,       0.017,       0.999,   9.679e-02,      0.6321
   9,   7.686e+00,  -7.779e+00,   1.604e-02,       0.001,      -0.005,       1.000,   8.178e-02,      0.8390
  10,   7.603e+00,  -7.779e+00,   1.520e-02,      -0.055,      -0.051,       0.997,   6.224e-02,      1.0757
  11,   7.542e+00,  -7.779e+00,   1.084e-02,      -0.149,      -0.132,       0.980,   3.953e-02,      1.3987
  12,   7.507e+00,  -7.779e+00,   4.604e-03,      -0.358,      -0.313,       0.880,   1.497e-02,      1.6259
Strip 2
  13,   8.019e+00,  -6.868e+00,  -1.435e-04,      -0.030,      -0.015,       0.999,   1.732e-02,     -0.0143
  14,   7.990e+00,  -6.868e+00,  -9.606e-04,      -0.027,      -0.014,       1.000,   5.094e-02,     -0.0302
  15,   7.925e+00,  -6.868e+00,  -2.506e-03,      -0.017,      -0.008,       1.000,   8.158e-02,     -0.0293
  16,   7.827e+00,  -6.868e+00,  -3.650e-03,       0.000,       0.001,       1.000,   1.075e-01,      0.0077
  17,   7.702e+00,  -6.868e+00,  -2.909e-03,       0.020,       0.013,       1.000,   1.272e-01,      0.0842
  18,   7.557e+00,  -6.868e+00,   6.014e-04,       0.036,       0.023,       0.999,   1.395e-01,      0.2004
  19,   7.401e+00,  -6.868e+00,   6.474e-03,       0.041,       0.026,       0.999,   1.438e-01,      0.3263
  20,   7.243e+00,  -6.868e+00,   1.292e-02,       0.038,       0.024,       0.999,   1.396e-01,      0.4630
  21,   7.091e+00,  -6.868e+00,   1.843e-02,       0.030,       0.017,       0.999,   1.272e-01,      0.6399
  22,   6.955e+00,  -6.868e+00,   2.162e-02,       0.001,      -0.005,       1.000,   1.075e-01,      0.8435
  23,   6.843e+00,  -6.868e+00,   2.048e-02,      -0.055,      -0.051,       0.997,   8.179e-02,      1.0760
  24,   6.761e+00,  -6.868e+00,   1.460e-02,      -0.149,      -0.132,       0.980,   5.195e-02,      1.3932
  25,   6.714e+00,  -6.868e+00,   6.203e-03,      -0.358,      -0.313,       0.880,   1.967e-02,      1.6094
Strip 3
  26,   7.579e+00,  -5.991e+00,  -1.791e-04,      -0.030,      -0.015,       0.999,   2.054e-02,     -0.0149
  27,   7.543e+00,  -5.991e+00,  -1.199e-03,      -0.027,      -0.014,       1.000,   6.041e-02,     -0.0314
  28,   7.462e+00,  -5.991e+00,  -3.129e-03,      -0.017,      -0.008,       1.000,   9.675e-02,     -0.0314
  29,   7.339e+00,  -5.991e+00,  -4.556e-03,       0.000,       0.001,       1.000,   1.275e-01,      0.0042
  30,   7.183e+00,  -5.991e+00,  -3.632e-03,       0.020,       0.013,       1.000,   1.508e-01,      0.0788
  31,   7.003e+00,  -5.991e+00,   7.507e-04,       0.036,       0.023,       0.999,   1.655e-01,      0.1924
  32,   6.808e+00,  -5.991e+00,   8.082e-03,       0.041,       0.026,       0.999,   1.705e-01,      0.3155
  33,   6.610e+00,  -5.991e+00,   1.613e-02,       0.038,       0.024,       0.999,   1.655e-01,      0.4492
  34,   6.421e+00,  -5.991e+00,   2.301e-02,       0.030,       0.017,       0.999,   1.509e-01,      0.6224
  35,   6.251e+00,  -5.991e+00,   2.698e-02,       0.001,      -0.005,       1.000,   1.275e-01,      0.8206
  36,   6.111e+00,  -5.991e+00,   2.556e-02,      -0.055,      -0.051,       0.997,   9.701e-02,      1.0434
  37,   6.008e+00,  -5.991e+00,   1.823e-02,      -0.149,      -0.132,       0.980,   6.162e-02,      1.3399
  38,   5.949e+00,  -5.991e+00,   7.743e-03,      -0.358,      -0.313,       0.880,   2.333e-02,      1.4956
Strip 4
  39,   7.166e+00,  -5.169e+00,  -2.125e-04,      -0.030,      -0.015,       0.999,   2.249e-02,     -0.0162
  40,   7.124e+00,  -5.169e+00,  -1.423e-03,      -0.027,      -0.014,       1.000,   6.615e-02,     -0.0337
  41,   7.027e+00,  -5.169e+00,  -3.712e-03,      -0.017,      -0.008,       1.000,   1.059e-01,     -0.0351
  42,   6.883e+00,  -5.169e+00,  -5.405e-03,       0.000,       0.001,       1.000,   1.396e-01,     -0.0012
  43,   6.698e+00,  -5.169e+00,  -4.308e-03,       0.020,       0.013,       1.000,   1.651e-01,      0.0714
  44,   6.483e+00,  -5.169e+00,   8.906e-04,       0.036,       0.023,       0.999,   1.812e-01,      0.1827
  45,   6.252e+00,  -5.169e+00,   9.588e-03,       0.041,       0.026,       0.999,   1.867e-01,      0.3031
  46,   6.017e+00,  -5.169e+00,   1.913e-02,       0.038,       0.024,       0.999,   1.812e-01,      0.4337
  47,   5.793e+00,  -5.169e+00,   2.730e-02,       0.030,       0.017,       0.999,   1.652e-01,      0.6034
  48,   5.592e+00,  -5.169e+00,   3.201e-02,       0.001,      -0.005,       1.000,   1.396e-01,      0.7962
  49,   5.425e+00,  -5.169e+00,   3.032e-02,      -0.055,      -0.051,       0.997,   1.062e-01,      1.0095
  50,   5.304e+00,  -5.169e+00,   2.163e-02,      -0.149,      -0.132,       0.980,   6.746e-02,      1.2849
  51,   5.234e+00,  -5.169e+00,   9.186e-03,      -0.358,      -0.313,       0.880,   2.554e-02,      1.3789
Strip 5
  52,   6.792e+00,  -4.423e+00,  -2.428e-04,      -0.030,      -0.015,       0.999,   2.291e-02,     -0.0174
  53,   6.744e+00,  -4.423e+00,  -1.625e-03,      -0.027,      -0.014,       1.000,   6.740e-02,     -0.0359
