y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
    0.0000,   6.3734, -1.327, 0.185714, 0.004597, 0.004689, 0.006795, 0.001173, 0.2023, 0.3152, 0.2426,102331.3379
    0.1834,   6.3734, -1.327, 0.185714, 0.004597, 0.004689, 0.006795, 0.001173, 0.2023, 0.3152, 0.2426,102331.3379
    0.5457,   5.8113, -1.340, 0.201667, 0.004597, 0.004638, 0.001842, 0.005002, 0.2041, 0.3368, 0.2242,91668.2552
    0.8946,   5.2701, -1.322, 0.219936, 0.004596, 0.004980,-0.007415, 0.007809, 0.2058, 0.3611, 0.2136,82054.9039
    1.2215,   4.7630, -1.283, 0.239666, 0.004620, 0.005239,-0.021462, 0.009797, 0.2061, 0.3854, 0.2082,73624.5222
    1.5183,   4.3026, -1.227, 0.260472, 0.004626, 0.005401,-0.040531, 0.011175, 0.2058, 0.4182, 0.2062,66445.2376
    1.7777,   3.9002, -1.158, 0.281658, 0.004612, 0.005450,-0.064264, 0.012126, 0.2068, 0.4514, 0.2061,60534.0721
    1.9933,   3.5657, -1.083, 0.302006, 0.004572, 0.005383,-0.091158, 0.012816, 0.2076, 0.4820, 0.2068,55873.5290
    2.1598,   3.3073, -1.017, 0.319637, 0.004568, 0.005144,-0.118053, 0.013357, 0.2086, 0.5036, 0.2075,52428.0318
    2.2732,   3.1314, -0.978, 0.332610, 0.004587, 0.002895,-0.140003, 0.013734, 0.2088, 0.5156, 0.2079,50158.2387
    2.3306,   3.0424, -0.992, 0.342609, 0.004603,-0.010316,-0.152427, 0.013589, 0.2080, 0.5258, 0.2091,49032.1289
    2.3813,   3.0064, -0.956, 0.345549, 0.004605, 0.006708,-0.159923, 0.015358, 0.2078, 0.5311, 0.2046,48043.6122
    2.5255,   2.9523, -0.874, 0.346991, 0.004603, 0.005341,-0.177328, 0.015262, 0.2082, 0.5366, 0.2051,45280.9120
    2.8105,   2.8455, -0.831, 0.351233, 0.004601, 0.005106,-0.213848, 0.015916, 0.2088, 0.5485, 0.2037,40105.2223
    3.2292,   2.6885, -0.802, 0.358438, 0.004596, 0.005019,-0.275360, 0.016460, 0.2101, 0.5661, 0.2031,33163.2651
    3.7712,   2.4853, -0.773, 0.368691, 0.004583, 0.004969,-0.370854, 0.016746, 0.2123, 0.5892, 0.2036,25303.6283
    4.4233,   2.2409, -0.735, 0.381764, 0.004621, 0.004896,-0.515197, 0.016815, 0.2116, 0.6232, 0.2050,17452.5240
    5.1694,   1.9612, -0.692, 0.397259, 0.004684, 0.004796,-0.734009, 0.016746, 0.2106, 0.6577, 0.2069,10476.0186
    5.9910,   1.6531, -0.657, 0.414352, 0.004772, 0.004749,-1.073394, 0.016648, 0.2109, 0.6869, 0.2089,5048.6933
    6.8681,   1.3243, -0.681, 0.429790, 0.004827, 0.005110,-1.617024, 0.016920, 0.2149, 0.7216, 0.2097,1549.8480
    7.7789,   0.9829, -0.980, 0.420118, 0.005000, 0.007186,-2.436209, 0.020448, 0.2294, 0.7520, 0.2004, 0.0000
    8.24,0.78,0,0,0,0,0,0,0,0,0,0
